## File successfully created!

## Formato: MatCodig:  ;MatNumSe:  ;MatNumMe:  ;MatNumCo:  ;MatCant:  ;MatTipo:  ;MatDescr:  ;MatMarca:  ;MatLocal:  ;$UpdatedBy:  ;$Revisions:  ;

;;;;1;BORRADOR DE EPROMS.;;;Almacen;28/01/98 18:24:21,28/01/98 18:25:09,06/07/98 16:46:01,18/03/2002 08:42:30;CN=TALLERES/O=SDB,CN=Sat CCB/O=Salesianos;



;0140272;;06001;1;CNA;P -  3500;Instruments Division;Almacen;CN=TALLERES/O=SDB,CN=Sat CCB/O=SD;26/02/2002 19:13:33;



;0140262;;06002;1;CNA;P - 3500;Instruments Division;Almacen;CN=TALLERES/O=SDB,CN=Sat CCB/O=SD;26/02/2002 19:14:21;



;137853;;06003;1;CNA;SB - 10;Instruments Division;Almacen;CN=TALLERES/O=SDB,CN=Sat CCB/O=SD;26/02/2002 19:15:53;



;5008357;;D-30003;1;COMPACT DISC ( * NOTA);CDP-261;Sony;Almacen;03/12/97 12:32:12,24/07/2001 09:25:56,14/03/2002 19:20:32,14/03/2002 19:24:06,10/09/2002 19:27:19,13/01/2003 09:15:53;CN=DEPARTAMENTO TECNICO/O=SDB,CN=TALLERES/O=SDB,CN=Sat CCB/O=Salesianos;




;;;;1;DISCO 1GB PARA UNIDAD JAZ;;;Almacen;28/01/98 18:24:24,28/01/98 18:25:10,06/07/98 16:46:02,18/03/2002 08:46:17;CN=TALLERES/O=SDB,CN=Sat CCB/O=Salesianos;



;;;T-A1;1;EQUIPO DE AIRE ACONDICIONADO;;Ro;Almacen;06/07/98 11:38:23,06/07/98 16:39:07;CN=Tecnico Salesianos/O=Salesianos;



;;;T-A4;1;EQUIPO DE AIRE ACONDICIONADO;;Ro;Almacen;CN=TALLERES/O=SDB,CN=Tecnico Salesianos/O=Salesianos;06/07/98 16:39:23,06/07/98 16:43:03;



;8310573;;T-2;1;PROYECTOR DE TRANSPARENCIAS;R081-2;C.Magm;Almacen;19/11/97 10:41:50,19/11/97 11:40:33,28/11/97 21:17:14,06/07/98 10:57:31,06/07/98 17:47:54,21/10/98 19:10:13,07/12/2001 11:05:57;CN=DEPARTAMENTO TECNICO/O=SDB,CN=Tecnico Salesianos/O=Salesianos;



